title,name,medium,country,accessionyear,link,tag,wikidata
Terracotta fragment of a krater (bowl for mixing wine and water)?,,Terracotta,,2011,https://www.metmuseum.org/art/collection/search/740236,,
Terracotta lekythos (oil flask),Nikon Painter,Terracotta,,1953,https://www.metmuseum.org/art/collection/search/254795,"[{'term': 'Palms', 'AAT_URL': None, 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q14080'}, {'term': 'Lyres', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300042114', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q201129'}, {'term': 'Apollo', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901000109', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q37340'}, {'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}]",https://www.wikidata.org/wiki/Q116290664
Vase (one of a pair),Belvedere Manufactory,Faience (tin-glazed earthenware) with underglaze blue and enamel decoration and gilding,,2019,https://www.metmuseum.org/art/collection/search/834812,,https://www.wikidata.org/wiki/Q116445454
Vase (one of a pair),Belvedere Manufactory,Faience (tin-glazed earthenware) with underglaze blue and enamel decoration and gilding,,2019,https://www.metmuseum.org/art/collection/search/834813,,https://www.wikidata.org/wiki/Q116445455
Terracotta barrel-shaped oinochoe (jug),,Terracotta,,1975,https://www.metmuseum.org/art/collection/search/255548,,https://www.wikidata.org/wiki/Q116286999
Terracotta neck-amphora (jar) with twisted handles,Suessula Painter,Terracotta,,1944,https://www.metmuseum.org/art/collection/search/254518,"[{'term': 'Human Figures', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300404114', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q5937779'}, {'term': 'Male Nudes', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300189568', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q40446'}, {'term': 'Shields', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300036869', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q131559'}, {'term': 'Amazons', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901000212', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q134154'}]",https://www.wikidata.org/wiki/Q116287313
Juglet,,Terracotta,,1874,https://www.metmuseum.org/art/collection/search/240327,,
Jug,,Terracotta,,1874,https://www.metmuseum.org/art/collection/search/240328,,
"Jug, barrel-shaped",,Terracotta,,1874,https://www.metmuseum.org/art/collection/search/240315,,
Terracotta rim fragment of a kylix (drinking cup),,Terracotta,,2011,https://www.metmuseum.org/art/collection/search/686715,,
Terracotta fragment of a kylix (drinking cup),,Terracotta,,2011,https://www.metmuseum.org/art/collection/search/703971,,
Vase,Frederick Hurten Rhead,Earthenware,United States,1996,https://www.metmuseum.org/art/collection/search/4537,"[{'term': 'Trees', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300132410', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q10884'}]",https://www.wikidata.org/wiki/Q116392045
Terracotta bell-krater (bowl for mixing wine and water),Nikias Painter,Terracotta,,1941,https://www.metmuseum.org/art/collection/search/254171,"[{'term': 'Altars', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300003725', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q101687'}, {'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}]",https://www.wikidata.org/wiki/Q116288947
Terracotta squat lekythos (oil flask),,Terracotta,,1956,https://www.metmuseum.org/art/collection/search/254917,"[{'term': 'Trojan War', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901000351', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q42937'}, {'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}]",https://www.wikidata.org/wiki/Q116289805
Vase,Newcomb Pottery,Earthenware,United States,2017,https://www.metmuseum.org/art/collection/search/19975,"[{'term': 'Trees', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300132410', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q10884'}]",https://www.wikidata.org/wiki/Q98225037
Amphora,,Terracotta,,1874,https://www.metmuseum.org/art/collection/search/240108,,
Vase fragment,,Terracotta,,1917,https://www.metmuseum.org/art/collection/search/250364,,
Terracotta rim fragment of a kylix (drinking cup),,Terracotta,,2011,https://www.metmuseum.org/art/collection/search/686759,,
Terracotta rim fragment of a kylix (drinking cup),,Terracotta,,2011,https://www.metmuseum.org/art/collection/search/704011,,
Terracotta fragment of a kylix (drinking cup),,Terracotta,,2011,https://www.metmuseum.org/art/collection/search/669824,,
Terracotta fragment of a kylix (drinking cup),,Terracotta,,2011,https://www.metmuseum.org/art/collection/search/718806,,
Vase with overlapping pattern and three bands of palm trees,,Chlorite,,1917,https://www.metmuseum.org/art/collection/search/322483,"[{'term': 'Palms', 'AAT_URL': None, 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q14080'}]",https://www.wikidata.org/wiki/Q29384405
