title,name,medium,country,accessionyear,link,tag,wikidata
The Crucifixion; The Last Judgment,Jan van Eyck,"Oil on canvas, transferred from wood",,1933,https://www.metmuseum.org/art/collection/search/436282,"[{'term': 'Angels', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300379004', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q235113'}, {'term': 'Christ', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901000087', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q642420'}, {'term': 'Virgin Mary', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901000032', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q345'}, {'term': 'Skeletons', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300191778', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q7881'}, {'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}, {'term': 'Mary Magdalene', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901000161', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q63070'}, {'term': 'Crucifixion', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300404300', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q3235597'}, {'term': 'Last Judgement', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901001027', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q1821239'}]",https://www.wikidata.org/wiki/Q574004
Sassafras Linen Press,Byrdcliffe Arts and Crafts Colony,"Watercolor, colored pencil, and black ink, over graphite",,1991,https://www.metmuseum.org/art/collection/search/404896,"[{'term': 'Cabinets', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300038888', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q2741056'}]",
Walking suit,"Lucile Ltd., New York",silk,,2009,https://www.metmuseum.org/art/collection/search/174593,,
Sherd,,Ceramic,,1969,https://www.metmuseum.org/art/collection/search/325996,,
Cosmetic stick (?),,Bronze,,1978,https://www.metmuseum.org/art/collection/search/326398,,
,,,,,,,
Frances Wright of Nashoba,Charles Joseph Hullmandel,Lithograph,,1883,https://www.metmuseum.org/art/collection/search/852838,"[{'term': 'Portraits', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300015637', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q134307'}, {'term': 'Horses', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250148', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q726'}, {'term': 'Women', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025943', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q467'}]",
Chasuble with the Gathering of the Manna,Hieronymus (Jerome) Wierix,"Wool, silk, linen (16-18 warps per inch, 6-7 per cm.)",,1954,https://www.metmuseum.org/art/collection/search/227765,"[{'term': 'Manna', 'AAT_URL': None, 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q241156'}, {'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}, {'term': 'Women', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025943', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q467'}, {'term': 'Coat of Arms', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300126352', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q14659'}]",
French Horn. Unwound. Hanging,Claes Oldenburg,Charcoal and pastel on paper,,2024,https://www.metmuseum.org/art/collection/search/904846,,
"David Young and Unknown Man, Newhaven",Hill and Adamson,Salted paper print from paper negative,,2013,https://www.metmuseum.org/art/collection/search/306226,"[{'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}, {'term': 'Portraits', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300015637', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q134307'}]",
